cycle,ticker,status,yes_bid,yes_ask,no_bid,no_ask,last,previous,volume,volume_24h,open_interest,close_time,quote_source
20260925T012154Z,KXBTC-26SEP2422-B84650,active,0.22,0.25,0.75,0.78,0.22,0.0,1333.27,1186.2,1328.27,2026-09-25T02:00:00Z,market
20260925T012154Z,KXBTC-26SEP2517-B89750,active,0.0,0.01,0.99,1.0,0.03,0.03,11313.59,0.0,11313.59,2026-09-25T21:00:00Z,market
20260925T012154Z,KXBTC15M-26SEP242130-30,active,0.13,0.14,0.86,0.87,0.24,0.0,842200.06,730951.41,276481.56,2026-09-25T01:30:00Z,book
20260925T012154Z,KXCEOANTHROPIC-26,active,0.0,0.47,0.53,1.0,0.05,0.09,7547.82,490.97,5103.73,2027-01-01T04:59:00Z,market
20260925T012154Z,KXCPI-26SEP-T0.4,active,0.9,0.92,0.08,0.1,0.92,0.9,81541.26,6990.97,50910.35,2026-10-14T12:25:00Z,market
20260925T012154Z,KXCPI-26SEP-T0.5,active,0.64,0.65,0.35,0.36,0.64,0.66,66178.47,4217.04,42874.33,2026-10-14T12:25:00Z,market
20260925T012154Z,KXCPI-26SEP-T0.6,active,0.23,0.24,0.76,0.77,0.24,0.29,88063.22,1961.69,21834.53,2026-10-14T12:25:00Z,market
20260925T012154Z,KXCPIYOY-26SEP-T3.5,active,0.8,0.84,0.16,0.2,0.85,0.85,45140.21,5629.05,34716.96,2026-10-14T12:29:00Z,market
20260925T012154Z,KXCPIYOY-26SEP-T3.6,active,0.45,0.46,0.54,0.55,0.46,0.45,62495.96,11371.52,44477.59,2026-10-14T12:29:00Z,market
20260925T012154Z,KXETH15M-26SEP242130-30,active,0.39,0.4,0.6,0.61,0.39,0.0,31364.68,27507.07,10668.92,2026-09-25T01:30:00Z,market
20260925T012154Z,KXFDAANNOUNCE-BPC-26NOV01,active,0.04,0.2,0.8,0.96,0.12,0.12,14584.77,0.0,6342.55,2026-11-01T04:59:00Z,market
20260925T012154Z,KXFDAANNOUNCE-BPC-27JAN01,active,0.1,0.33,0.67,0.9,0.31,0.33,14867.63,13.51,5479.01,2027-01-01T04:59:00Z,market
20260925T012154Z,KXFDAAPPROVALDATECMPS-360-27JUL01,active,0.36,0.86,0.14,0.64,0.83,0.83,8645.35,0.0,3300.16,2027-07-01T03:59:00Z,market
20260925T012154Z,KXFDAAPPROVALDATENTLA-LONV-27JUL01,active,0.43,0.92,0.08,0.57,0.96,0.96,4634.76,0.0,2591.07,2027-07-01T03:59:00Z,market
20260925T012154Z,KXFDAAPPROVE-CYT-26OCT01,active,0.01,0.07,0.93,0.99,0.06,0.05,8169.74,1000.0,6265.23,2026-10-01T03:59:00Z,market
20260925T012154Z,KXFDAAPPROVE-CYT-27JAN01,active,0.13,0.17,0.83,0.87,0.13,0.13,144.35,0.0,68.8,2027-01-01T04:59:00Z,market
20260925T012154Z,KXFDARETATRUTIDE-RET-27JAN01,active,0.06,0.09,0.91,0.94,0.03,0.07,26602.73,872.3,10669.73,2027-01-01T04:59:00Z,market
20260925T012154Z,KXFDARETATRUTIDE-RET-28JAN01,active,0.86,0.93,0.07,0.14,0.89,0.85,2106.87,15.06,1422.06,2028-01-01T04:59:00Z,market
20260925T012154Z,KXFED-26OCT-T4.00,active,0.67,0.68,0.32,0.33,0.67,0.64,64466.08,2604.39,33326.22,2026-10-28T17:55:00Z,market
20260925T012154Z,KXFED-26OCT-T4.25,active,0.01,0.02,0.98,0.99,0.01,0.01,18337.24,1104.64,16451.83,2026-10-28T17:55:00Z,market
20260925T012154Z,KXFEDDECISION-26DEC-H25,active,0.7,0.71,0.29,0.3,0.71,0.7,131491.84,161.5,94660.02,2026-12-09T18:59:00Z,market
20260925T012154Z,KXFEDDECISION-26OCT-H0,active,0.33,0.34,0.66,0.67,0.34,0.34,1088180.8,157718.05,665269.67,2026-10-28T17:59:00Z,market
20260925T012154Z,KXFEDDECISION-26OCT-H25,active,0.67,0.68,0.32,0.33,0.68,0.66,903563.08,123995.21,490714.2,2026-10-28T17:59:00Z,market
20260925T012154Z,KXGOLD15M-26SEP242130-30,active,0.8,0.81,0.19,0.2,0.79,0.0,97187.67,82882.47,44381.94,2026-09-25T01:30:00Z,book
20260925T012154Z,KXHIGHAUS-26SEP24-B98.5,active,0.99,1.0,0.0,0.01,0.99,0.44,17589.28,16955.68,12278.72,2026-09-25T06:00:00Z,market
20260925T012154Z,KXHIGHAUS-26SEP25-B99.5,active,0.23,0.24,0.76,0.77,0.27,0.0,666.26,666.26,538.63,2026-09-26T06:00:00Z,market
20260925T012154Z,KXHIGHCHI-26SEP24-B68.5,active,0.99,1.0,0.0,0.01,0.99,0.44,27729.94,26649.28,10914.66,2026-09-25T06:00:00Z,market
20260925T012154Z,KXHIGHCHI-26SEP24-B72.5,active,0.0,0.01,0.99,1.0,0.01,0.05,6709.95,6361.58,3442.26,2026-09-25T06:00:00Z,market
20260925T012154Z,KXHIGHCHI-26SEP25-B70.5,active,0.05,0.06,0.94,0.95,0.05,0.0,1956.39,1956.39,1478.41,2026-09-26T06:00:00Z,market
20260925T012154Z,KXHIGHDEN-26SEP24-T71,active,0.0,0.01,0.99,1.0,0.01,0.66,18800.0,17033.2,11232.24,2026-09-25T07:00:00Z,market
20260925T012154Z,KXHIGHDEN-26SEP25-B72.5,active,0.11,0.12,0.88,0.89,0.13,0.0,1164.78,1160.78,815.94,2026-09-26T07:00:00Z,market
20260925T012154Z,KXHIGHLAX-26SEP24-B80.5,active,0.0,0.01,0.99,1.0,0.01,0.25,95767.34,91150.97,62496.34,2026-09-25T08:00:00Z,market
20260925T012154Z,KXHIGHLAX-26SEP24-B84.5,active,0.0,0.01,0.99,1.0,0.01,0.02,57862.22,56237.58,48953.77,2026-09-25T08:00:00Z,market
20260925T012154Z,KXHIGHLAX-26SEP24-T78,active,0.0,0.01,0.99,1.0,0.01,0.28,63658.77,57577.09,33849.09,2026-09-25T08:00:00Z,market
20260925T012154Z,KXHIGHLAX-26SEP25-B81.5,active,0.1,0.12,0.88,0.9,0.12,0.0,3113.91,3113.91,2394.89,2026-09-26T08:00:00Z,market
20260925T012154Z,KXHIGHMIA-26SEP24-B88.5,active,0.0,0.01,0.99,1.0,0.01,0.29,42970.14,40075.51,29086.21,2026-09-25T05:00:00Z,market
20260925T012154Z,KXHIGHMIA-26SEP25-B87.5,active,0.24,0.25,0.75,0.76,0.25,0.0,2356.81,2356.81,1702.4,2026-09-26T05:00:00Z,market
20260925T012154Z,KXHIGHNY-26SEP24-B68.5,active,0.0,0.01,0.99,1.0,0.01,0.36,37647.48,36627.2,24296.02,2026-09-25T05:00:00Z,market
20260925T012154Z,KXHIGHNY-26SEP25-B73.5,active,0.1,0.11,0.89,0.9,0.11,0.0,1436.44,1436.44,1269.79,2026-09-26T05:00:00Z,book
20260925T012154Z,KXHIGHPHIL-26SEP25-T75,active,0.37,0.38,0.62,0.63,0.37,0.0,2726.13,2710.67,2317.48,2026-09-26T05:00:00Z,market
20260925T012154Z,KXHIGHTATL-26SEP24-B74.5,active,0.0,0.01,0.99,1.0,0.01,0.23,11587.92,10902.3,6353.57,2026-09-25T05:00:00Z,market
20260925T012154Z,KXHIGHTBOS-26SEP24-B61.5,active,0.0,0.01,0.99,1.0,0.01,0.32,8483.94,7941.04,4740.98,2026-09-25T05:00:00Z,market
20260925T012154Z,KXHIGHTBOS-26SEP24-B65.5,active,0.99,1.0,0.0,0.01,0.99,0.07,12175.81,11645.62,5900.08,2026-09-25T05:00:00Z,market
20260925T012154Z,KXHIGHTDAL-26SEP24-B95.5,active,0.0,0.01,0.99,1.0,0.01,0.4,9876.48,8826.25,5034.29,2026-09-25T06:00:00Z,market
20260925T012154Z,KXHIGHTDAL-26SEP24-B97.5,active,0.0,0.01,0.99,1.0,0.01,0.14,3244.81,2399.96,1985.86,2026-09-25T06:00:00Z,market
20260925T012154Z,KXHIGHTDAL-26SEP24-T93,active,0.0,0.01,0.99,1.0,0.01,0.15,17153.34,15811.72,14319.56,2026-09-25T06:00:00Z,market
20260925T012154Z,KXHIGHTDAL-26SEP25-B96.5,active,0.1,0.11,0.89,0.9,0.1,0.0,324.23,324.23,316.16,2026-09-26T06:00:00Z,market
20260925T012154Z,KXHIGHTHOU-26SEP24-B96.5,active,0.0,0.01,0.99,1.0,0.01,0.29,5662.93,4853.27,3408.36,2026-09-25T06:00:00Z,market
20260925T012154Z,KXHIGHTSEA-26SEP24-B58.5,active,0.0,0.01,0.99,1.0,0.01,0.08,64011.64,12333.43,3462.75,2026-09-25T08:00:00Z,market
20260925T012154Z,KXHIGHTSEA-26SEP24-B62.5,active,0.99,,,0.01,0.99,0.41,18450.79,17810.96,8528.13,2026-09-25T08:00:00Z,book
20260925T012154Z,KXJPMCEONEW-30-JP,active,0.15,0.24,0.76,0.85,0.24,0.24,1792.72,0.0,321.0,2030-01-01T15:00:00Z,market
20260925T012154Z,KXMLBGAME-26SEP241905TBNYY-NYY,active,0.36,0.37,0.63,0.64,0.38,0.58,1237172.91,1214774.41,841056.24,2026-09-27T23:05:00Z,book
20260925T012154Z,KXMLBGAME-26SEP241905TBNYY-TB,active,0.62,0.64,0.36,0.38,0.64,0.42,435435.99,426351.15,238320.02,2026-09-27T23:05:00Z,market
20260925T012154Z,KXMLBGAME-26SEP241915CINATL-CIN,active,0.53,0.54,0.46,0.47,0.57,0.34,1059556.67,1054491.25,469695.38,2026-09-27T23:15:00Z,book
20260925T012154Z,KXNCAAFGAME-26OCT03MCNSLSU-LSU,active,0.99,1.0,0.0,0.01,0.99,0.99,118880.0,0.0,118880.0,2026-10-05T23:45:00Z,market
20260925T012154Z,KXNCAAFGAME-26OCT03MCNSLSU-MCNS,active,0.0,0.01,0.99,1.0,0.01,0.01,148334.17,5878.26,148334.17,2026-10-05T23:45:00Z,market
20260925T012154Z,KXNCAAFGAME-26OCT03UKSCAR-UK,active,0.38,0.41,0.59,0.62,0.33,0.4,4620.08,4457.36,3853.96,2026-10-05T17:00:00Z,market
20260925T012154Z,KXNCAAFGAME-26SEP24LIBCCAR-LIB,active,0.59,0.6,0.4,0.41,0.59,0.57,986107.12,921284.95,701308.94,2026-09-26T23:30:00Z,book
20260925T012154Z,KXNCAAFGAME-26SEP25ARMYTEM-TEM,active,0.41,0.42,0.58,0.59,0.42,0.42,7446.64,845.9,6744.28,2026-09-27T20:00:00Z,market
20260925T012154Z,KXNCAAFGAME-26SEP25HOWRUTG-HOW,active,0.01,0.02,0.98,0.99,0.02,0.01,747391.41,261902.43,715863.14,2026-09-27T23:00:00Z,market
20260925T012154Z,KXNCAAFGAME-26SEP25HOWRUTG-RUTG,active,0.98,0.99,0.01,0.02,0.98,0.99,54820.31,18788.15,37916.43,2026-09-27T23:00:00Z,market
20260925T012154Z,KXNCAAFGAME-26SEP25NWIND-IND,active,0.92,0.93,0.07,0.08,0.93,0.93,79320.44,15482.94,63344.88,2026-09-28T00:00:00Z,market
20260925T012154Z,KXNCAAFGAME-26SEP25NWIND-NW,active,0.07,0.08,0.92,0.93,0.08,0.07,126923.33,30366.76,120982.68,2026-09-28T00:00:00Z,market
20260925T012154Z,KXNCAAFGAME-26SEP26BUCKPITT-BUCK,active,0.0,0.01,0.99,1.0,0.01,0.01,277495.29,76768.48,274840.07,2026-09-28T16:00:00Z,market
20260925T012154Z,KXNCAAFGAME-26SEP26CARKFSU-CARK,active,0.0,0.01,0.99,1.0,0.01,0.01,324863.1,91035.66,324831.83,2026-09-28T17:00:00Z,market
20260925T012154Z,KXNCAAFGAME-26SEP26ILLOSU-ILL,active,0.03,0.04,0.96,0.97,0.04,0.04,69917.98,15021.39,67682.27,2026-09-28T17:00:00Z,market
20260925T012154Z,KXNCAAFGAME-26SEP26JMUODU-JMU,active,0.67,0.68,0.32,0.33,0.68,0.68,17122.25,448.64,16216.22,2026-09-28T17:00:00Z,market
20260925T012154Z,KXNCAAFGAME-26SEP26MOSUSMU-SMU,active,0.99,1.0,0.0,0.01,0.99,0.99,34503.44,7528.8,33297.97,2026-09-28T17:00:00Z,market
20260925T012154Z,KXNCAAFGAME-26SEP26NCCUECU-ECU,active,0.97,0.99,0.01,0.03,0.98,0.99,222083.62,515.15,15843.42,2026-09-28T20:00:00Z,market
20260925T012154Z,KXNCAAFGAME-26SEP26NCCUECU-NCCU,active,0.01,0.03,0.97,0.99,0.03,0.02,258727.11,12007.62,139225.32,2026-09-28T20:00:00Z,market
20260925T012154Z,KXNCAAFGAME-26SEP26OKLAUGA-UGA,active,0.84,0.85,0.15,0.16,0.85,0.85,72530.29,10999.16,68137.06,2026-09-28T17:00:00Z,market
20260925T012154Z,KXNCAAFGAME-26SEP26SHSUTTU-SHSU,active,0.01,0.02,0.98,0.99,0.02,0.02,174643.98,28756.97,152452.99,2026-09-28T17:00:00Z,market
20260925T012154Z,KXNCAAFGAME-26SEP26SHSUTTU-TTU,active,0.99,1.0,0.0,0.01,0.99,0.98,72147.74,26306.83,51113.61,2026-09-28T17:00:00Z,market
20260925T012154Z,KXNCAAFGAME-26SEP26TEXTENN-TEX,active,0.63,0.64,0.36,0.37,0.64,0.65,216591.35,66487.36,162956.68,2026-09-28T16:00:00Z,market
20260925T012154Z,KXNFLGAME-26OCT04MIAMIN-MIN,active,0.84,0.85,0.15,0.16,0.85,0.85,7314.5,323.31,6700.98,2026-10-06T20:05:00Z,market
20260925T012154Z,KXNFLGAME-26SEP24ATLGB-ATL,active,0.39,0.4,0.6,0.61,0.4,0.3,8562576.43,7976038.02,7185520.07,2026-09-27T00:15:00Z,book
20260925T012154Z,KXNFLGAME-26SEP24ATLGB-GB,active,0.6,0.61,0.39,0.4,0.61,0.71,6991784.89,5899204.36,5331800.83,2026-09-27T00:15:00Z,book
20260925T012154Z,KXNFLGAME-26SEP27ARISF-ARI,active,0.21,0.22,0.78,0.79,0.22,0.22,71393.42,7868.8,52511.61,2026-09-29T20:05:00Z,market
20260925T012154Z,KXNFLGAME-26SEP27BALDAL-DAL,active,0.37,0.38,0.62,0.63,0.38,0.38,174959.35,39203.15,159877.59,2026-09-29T20:25:00Z,market
20260925T012154Z,KXNFLGAME-26SEP27KCMIA-KC,active,0.85,0.86,0.14,0.15,0.86,0.86,754582.31,94441.17,627685.97,2026-09-29T17:00:00Z,market
20260925T012154Z,KXNFLGAME-26SEP27KCMIA-MIA,active,0.14,0.15,0.85,0.86,0.15,0.15,196270.99,58215.19,148215.01,2026-09-29T17:00:00Z,market
20260925T012154Z,KXNFLGAME-26SEP27LVNO-LV,active,0.38,0.39,0.61,0.62,0.39,0.39,391797.58,88954.32,371375.14,2026-09-29T20:25:00Z,market
20260925T012154Z,KXNFLGAME-26SEP27SEAWAS-SEA,active,0.75,0.76,0.24,0.25,0.76,0.74,416185.2,62911.4,325700.66,2026-09-29T17:00:00Z,market
