cycle,ticker,status,yes_bid,yes_ask,no_bid,no_ask,last,previous,volume,volume_24h,open_interest,close_time,quote_source
20260924T002233Z,KXBTC-26SEP2321-B84350,active,0.26,0.29,0.71,0.74,0.31,0.0,2481.55,2320.4,2381.55,2026-09-24T01:00:00Z,book
20260924T002233Z,KXBTC-26SEP2321-B84450,active,0.2,0.22,0.78,0.8,0.26,0.0,1360.48,1334.55,1119.55,2026-09-24T01:00:00Z,book
20260924T002233Z,KXBTC-26SEP2517-B89750,active,0.0,0.02,0.98,1.0,0.03,0.06,11313.59,2574.74,11313.59,2026-09-25T21:00:00Z,market
20260924T002233Z,KXCEOANTHROPIC-26,active,0.03,0.06,0.94,0.97,0.09,0.09,7056.85,0.0,4612.76,2027-01-01T04:59:00Z,market
20260924T002233Z,KXCPI-26SEP-T0.4,active,0.89,0.91,0.09,0.11,0.91,0.88,74309.64,2356.18,51129.3,2026-10-14T12:25:00Z,market
20260924T002233Z,KXCPI-26SEP-T0.5,active,0.61,0.65,0.35,0.39,0.66,0.58,61961.43,6623.32,40584.04,2026-10-14T12:25:00Z,market
20260924T002233Z,KXCPI-26SEP-T0.6,active,0.26,0.29,0.71,0.74,0.26,0.25,86071.53,3657.39,20799.42,2026-10-14T12:25:00Z,market
20260924T002233Z,KXCPIYOY-26SEP-T3.1,active,0.97,0.98,0.02,0.03,0.98,0.97,34469.24,9719.01,12162.39,2026-10-14T12:29:00Z,market
20260924T002233Z,KXCPIYOY-26SEP-T3.5,active,0.83,0.85,0.15,0.17,0.85,0.84,39511.16,1008.89,30509.3,2026-10-14T12:29:00Z,market
20260924T002233Z,KXCPIYOY-26SEP-T3.6,active,0.41,0.49,0.51,0.59,0.45,0.4,51124.44,1601.85,42122.94,2026-10-14T12:29:00Z,market
20260924T002233Z,KXFDAANNOUNCE-BPC-26NOV01,active,0.04,0.09,0.91,0.96,0.12,0.04,14584.77,8.21,6342.55,2026-11-01T04:59:00Z,market
20260924T002233Z,KXFDAANNOUNCE-BPC-27JAN01,active,0.31,0.33,0.67,0.69,0.33,0.3,14854.12,15.04,5465.5,2027-01-01T04:59:00Z,market
20260924T002233Z,KXFDAAPPROVALDATECMPS-360-27JUL01,active,0.79,0.81,0.19,0.21,0.83,0.86,8645.35,2.38,3300.16,2027-07-01T03:59:00Z,market
20260924T002233Z,KXFDAAPPROVALDATENTLA-LONV-27JUL01,active,0.86,0.93,0.07,0.14,0.96,0.96,4634.76,0.0,2591.07,2027-07-01T03:59:00Z,market
20260924T002233Z,KXFDAAPPROVALDATENTLA-LONV-28JAN01,active,0.88,0.91,0.09,0.12,0.72,0.72,610.75,0.0,143.3,2028-01-01T04:59:00Z,market
20260924T002233Z,KXFDAAPPROVE-CYT-26OCT01,active,0.01,0.07,0.93,0.99,0.05,0.07,7169.74,605.0,5265.23,2026-10-01T03:59:00Z,market
20260924T002233Z,KXFDAAPPROVE-CYT-27JAN01,active,0.11,0.18,0.82,0.89,0.13,0.13,144.35,0.0,68.8,2027-01-01T04:59:00Z,market
20260924T002233Z,KXFDARETATRUTIDE-RET-27JAN01,active,0.06,0.11,0.89,0.94,0.07,0.07,25730.43,0.0,10164.73,2027-01-01T04:59:00Z,market
